Condition	Subject	Session	Correct	CorrectAns	Response	RT
2_	10	1	0	15	17	1736
2_	10	1	0	16	8	2183
2_	10	1	0	17	9	5096
2_	10	1	1	18	18	4080
2_	15	4	0	1	7	1652
2_	15	4	1	2	2	1705
2_	15	4	0	3	13	1670
2_	15	4	0	4	17	1038
2_	15	4	0	5	2	1153
2_	15	4	0	6	14	1348
2_	15	4	0	7	1	1659
2_	15	4	0	8	7	895
2_	15	4	0	9	7	913
2_	15	4	0	10	14	1325
2_	15	4	0	11	7	1235
2_	15	4	0	12	3	828
2_	15	4	0	13	8	927
2_	15	4	0	14	8	1018
2_	15	4	0	15	1	1458
2_	15	4	0	16	11	847
2_	15	4	0	17	16	1062
2_	15	4	1	18	18	901
2_	25	3	0	1	10	10942
2_	25	3	0	2	10	3569
2_	25	3	1	3	3	2049
2_	25	3	0	4	12	1216
2_	25	3	0	5	8	13073
2_	25	3	0	6	9	3769
2_	25	3	0	7	13	6770
2_	25	3	0	8	12	4696
2_	25	3	1	9	9	2169
2_	25	3	0	10	18	8154
2_	25	3	0	11	7	2528
2_	25	3	0	12	2	7085
2_	25	3	0	13	17	3056
2_	25	3	0	14	15	3173
2_	25	3	0	15	14	1764
2_	25	3	0	16	10	7212
2_	25	3	0	17	11	5013
2_	25	3	0	18	15	5105
2_	30	4	0	1	15	10841
2_	30	4	0	2	10	4073
2_	30	4	1	3	3	2153
2_	30	4	0	4	2	4648
2_	30	4	0	5	13	5769
2_	30	4	0	6	15	5250
2_	30	4	0	7	17	5488
2_	30	4	0	8	14	2741
2_	30	4	1	9	9	2045
2_	30	4	0	10	13	11995
2_	30	4	0	11	18	2761
2_	30	4	0	12	4	8603
2_	30	4	0	13	6	4577
2_	30	4	0	14	17	2562
2_	30	4	1	15	15	2272
2_	30	4	0	16	5	4425
2_	30	4	0	17	14	5495
2_	30	4	0	18	16	7655
2_	5	2	0	1	8	11534
2_	5	2	0	2	4	7459
2_	5	2	1	3	3	3007
2_	5	2	1	4	4	1394
2_	5	2	0	5	16	2636
2_	5	2	1	6	6	2734
2_	5	2	1	7	7	1380
2_	5	2	0	8	17	7555
2_	5	2	1	9	9	1656
2_	5	2	0	10	6	7906
2_	5	2	0	11	5	2151
2_	5	2	1	12	12	1244
2_	5	2	0	13	18	3949
2_	5	2	1	14	14	5369
2_	5	2	0	15	17	5244
2_	5	2	0	16	2	6229
2_	5	2	0	17	10	2017
2_	5	2	0	18	6	7780
3_	10	3	0	1	15	5038
3_	10	3	0	2	6	4865
3_	10	3	1	3	3	3815
3_	10	3	1	4	4	1749
3_	10	3	1	5	5	2080
3_	10	3	0	6	1	1659
3_	10	3	1	7	7	1623
3_	10	3	1	8	8	1319
3_	10	3	0	9	13	2927
3_	10	3	0	10	14	1621
3_	10	3	0	11	2	6803
3_	10	3	1	12	12	1360
3_	10	3	1	13	13	2858
3_	10	3	0	14	16	3232
3_	10	3	0	15	10	3146
3_	10	3	0	16	11	14940
3_	10	3	1	17	17	1085
3_	10	3	0	18	1	17511
3_	15	2	0	1	18	4609
3_	15	2	0	2	16	4646
3_	15	2	0	3	8	2955
3_	15	2	1	4	4	2041
3_	15	2	1	5	5	1636
3_	15	2	1	6	6	1602
3_	15	2	0	7	12	1747
3_	15	2	0	8	12	1031
3_	15	2	0	9	12	2503
3_	15	2	0	10	8	3074
3_	15	2	1	11	11	1447
3_	15	2	1	12	12	1427
3_	15	2	0	13	18	2160
3_	15	2	0	14	16	2652
3_	15	2	1	15	15	1156
3_	15	2	0	16	3	1906
3_	15	2	1	17	17	1254
3_	15	2	0	18	1	2273
3_	25	1	0	1	16	21007
3_	25	1	0	2	6	8688
3_	25	1	0	3	9	14724
3_	25	1	0	4	16	2112
3_	25	1	0	5	3	6728
3_	25	1	0	6	13	6014
3_	25	1	0	7	12	2913
3_	25	1	1	8	8	4738
3_	25	1	1	9	9	3315
3_	25	1	0	10	1	1827
3_	25	1	1	11	11	3339
3_	25	1	0	12	4	9852
3_	25	1	0	13	10	7842
3_	25	1	0	14	9	2778
3_	25	1	1	15	15	5039
3_	25	1	0	16	17	8580
3_	25	1	0	17	5	7376
3_	25	1	0	18	7	3428
3_	30	1	0	1	16	10687
3_	30	1	0	2	18	7171
3_	30	1	0	3	14	4497
3_	30	1	0	4	16	4464
3_	30	1	0	5	15	3357
3_	30	1	0	6	2	4091
3_	30	1	0	7	3	3323
3_	30	1	1	8	8	10164
3_	30	1	1	9	9	2197
3_	30	1	1	10	10	4171
3_	30	1	0	11	5	5498
3_	30	1	0	12	13	3395
3_	30	1	0	13	7	1784
3_	30	1	0	14	5	6641
3_	30	1	0	15	10	7101
3_	30	1	0	16	17	2319
3_	30	1	1	17	17	5881
3_	30	1	1	18	18	3317
3_	5	3	0	1	2	14837
3_	5	3	0	2	18	10425
3_	5	3	1	3	3	1661
3_	5	3	1	4	4	8553
3_	5	3	1	5	5	1774
3_	5	3	1	6	6	2637
3_	5	3	0	7	9	6016
3_	5	3	1	8	8	2179
3_	5	3	0	9	7	1785
3_	5	3	1	10	10	1971
3_	5	3	1	11	11	1353
3_	5	3	0	12	13	13809
3_	5	3	0	13	4	12529
3_	5	3	1	14	14	5260
3_	5	3	1	15	15	3954
3_	5	3	0	16	9	5575
3_	5	3	0	17	9	6060
3_	5	3	0	18	12	1632
4_	10	4	1	1	1	1260
4_	10	4	1	2	2	2432
4_	10	4	1	3	3	1699
4_	10	4	1	4	4	31347
4_	10	4	1	5	5	2315
4_	10	4	1	6	6	992
4_	10	4	1	7	7	1346
4_	10	4	0	8	15	3792
4_	10	4	1	9	9	2002
4_	10	4	1	10	10	2987
4_	10	4	1	11	11	2660
4_	10	4	1	12	12	1958
4_	10	4	1	13	13	2572
4_	10	4	1	14	14	1171
4_	10	4	1	15	15	3456
4_	10	4	1	16	16	1180
4_	10	4	1	17	17	1890
4_	10	4	1	18	18	1706
4_	15	3	1	1	1	1626
4_	15	3	1	2	2	1658
4_	15	3	1	3	3	2789
4_	15	3	1	4	4	1135
4_	15	3	0	5	8	3002
4_	15	3	0	6	10	2240
4_	15	3	0	7	8	1572
4_	15	3	0	8	15	3168
4_	15	3	0	9	6	1539
4_	15	3	1	10	10	1555
4_	15	3	1	11	11	1489
4_	15	3	0	12	10	2858
4_	15	3	1	13	13	1189
4_	15	3	1	14	14	3559
4_	15	3	1	15	15	8649
4_	15	3	1	16	16	3032
4_	15	3	1	17	17	2187
4_	15	3	1	18	18	2134
4_	25	2	1	1	1	3929
4_	25	2	0	2	18	6677
4_	25	2	1	3	3	6194
4_	25	2	0	4	11	9889
4_	25	2	1	5	5	4622
4_	25	2	1	6	6	3035
4_	25	2	1	7	7	1678
4_	25	2	1	8	8	2796
4_	25	2	1	9	9	3425
4_	25	2	1	10	10	2777
4_	25	2	1	11	11	1374
4_	25	2	0	12	17	5798
4_	25	2	1	13	13	5778
4_	25	2	0	14	13	2487
4_	25	2	0	15	14	6732
4_	25	2	1	16	16	1529
4_	25	2	0	17	2	10073
4_	25	2	1	18	18	4686
4_	30	2	0	1	18	4282
4_	30	2	0	2	4	3575
4_	30	2	0	3	11	5333
4_	30	2	0	4	7	6114
4_	30	2	1	5	5	3945
4_	30	2	0	6	9	4363
4_	30	2	1	7	7	2268
4_	30	2	0	8	5	4311
4_	30	2	0	9	11	2546
4_	30	2	1	10	10	7694
4_	30	2	0	11	10	3875
4_	30	2	0	12	6	10534
4_	30	2	1	13	13	3406
4_	30	2	1	14	14	1617
4_	30	2	1	15	15	4645
4_	30	2	0	16	8	3191
4_	30	2	0	17	16	2918
4_	30	2	1	18	18	1896
4_	5	4	1	1	1	910
4_	5	4	1	2	2	2375
4_	5	4	1	3	3	1965
4_	5	4	1	4	4	2191
4_	5	4	1	5	5	6658
4_	5	4	1	6	6	2165
4_	5	4	1	7	7	1606
4_	5	4	0	8	15	2682
4_	5	4	1	9	9	3008
4_	5	4	1	10	10	6904
4_	5	4	1	11	11	968
4_	5	4	1	12	12	1235
4_	5	4	1	13	13	4247
4_	5	4	1	14	14	1732
4_	5	4	1	15	15	5814
4_	5	4	1	16	16	3430
4_	5	4	1	17	17	4177
4_	5	4	1	18	18	1951
1_	13	2	0	1	8	5152
1_	13	2	0	2	3	3637
1_	13	2	0	3	4	2049
1_	13	2	0	4	7	5230
1_	13	2	0	5	1	2730
1_	13	2	0	6	13	2242
1_	13	2	0	7	6	3287
1_	13	2	0	8	11	1771
1_	13	2	0	9	1	3930
1_	13	2	0	10	12	3582
1_	13	2	0	11	17	1956
1_	13	2	0	12	17	3474
1_	13	2	0	13	2	3040
1_	13	2	1	14	14	1997
1_	13	2	0	15	18	3627
1_	13	2	0	16	9	2745
1_	13	2	0	17	5	4491
1_	13	2	0	18	15	7027
1_	18	4	0	1	10	3317
1_	18	4	0	2	6	5400
1_	18	4	0	3	4	9741
1_	18	4	0	4	7	8725
1_	18	4	1	5	5	1635
1_	18	4	0	6	2	5846
1_	18	4	1	7	7	2061
1_	18	4	1	8	8	2720
1_	18	4	0	9	3	3306
1_	18	4	0	10	1	5373
1_	18	4	1	11	11	1491
1_	18	4	1	12	12	1187
1_	18	4	0	13	18	9294
1_	18	4	0	14	16	5224
1_	18	4	1	15	15	1118
1_	18	4	0	16	9	9262
1_	18	4	1	17	17	13196
1_	18	4	0	18	13	1846
1_	23	4	1	1	1	2074
1_	23	4	1	2	2	1986
1_	23	4	0	3	11	7492
1_	23	4	1	4	4	2260
1_	23	4	0	5	10	2480
1_	23	4	0	6	12	4396
1_	23	4	0	7	14	3163
1_	23	4	1	8	8	2556
1_	23	4	1	9	9	5634
1_	23	4	0	10	7	4748
1_	23	4	1	11	11	3930
1_	23	4	0	12	18	9085
1_	23	4	0	13	5	3803
1_	23	4	1	14	14	5273
1_	23	4	1	15	15	1376
1_	23	4	1	16	16	1270
1_	23	4	1	17	17	1335
1_	23	4	0	18	13	5904
1_	28	3	1	1	1	11797
1_	28	3	1	2	2	2468
1_	28	3	0	3	11	6226
1_	28	3	1	4	4	2265
1_	28	3	1	5	5	5400
1_	28	3	0	6	12	4560
1_	28	3	1	7	7	1810
1_	28	3	1	8	8	1091
1_	28	3	0	9	6	10324
1_	28	3	0	10	18	4657
1_	28	3	0	11	16	1775
1_	28	3	0	12	13	3553
1_	28	3	0	13	14	9646
1_	28	3	0	14	6	7590
1_	28	3	1	15	15	1881
1_	28	3	0	16	12	17236
1_	28	3	1	17	17	1822
1_	28	3	0	18	12	2286
1_	3	1	0	1	16	7914
1_	3	1	0	2	13	3523
1_	3	1	0	3	12	3648
1_	3	1	0	4	12	1784
1_	3	1	0	5	3	3228
1_	3	1	0	6	1	4919
1_	3	1	0	7	14	2811
1_	3	1	0	8	18	3081
1_	3	1	0	9	15	3655
1_	3	1	0	10	2	4163
1_	3	1	0	11	17	9408
1_	3	1	0	12	14	4331
1_	3	1	0	13	10	5112
1_	3	1	0	14	5	2630
1_	3	1	0	15	3	6863
1_	3	1	0	16	7	3998
1_	3	1	0	17	9	3732
1_	3	1	0	18	8	3104
1_	8	2	0	1	14	8359
1_	8	2	0	2	9	5062
1_	8	2	0	3	11	3159
1_	8	2	0	4	15	2815
1_	8	2	1	5	5	1422
1_	8	2	0	6	17	2038
1_	8	2	0	7	11	9766
1_	8	2	1	8	8	1977
1_	8	2	0	9	1	2482
1_	8	2	1	10	10	3819
1_	8	2	0	11	12	8645
1_	8	2	0	12	16	2968
1_	8	2	1	13	13	2480
1_	8	2	0	14	6	1271
1_	8	2	0	15	3	3077
1_	8	2	0	16	7	2158
1_	8	2	0	17	2	5010
1_	8	2	1	18	18	8687
2_	13	1	0	1	5	18411
2_	13	1	0	2	16	6516
2_	13	1	0	3	17	5194
2_	13	1	0	4	12	1500
2_	13	1	0	5	3	1153
2_	13	1	0	6	8	4063
2_	13	1	0	7	18	6219
2_	13	1	0	8	12	2881
2_	13	1	0	9	7	1093
2_	13	1	0	10	14	963
2_	13	1	0	11	4	1566
2_	13	1	1	12	12	1374
2_	13	1	0	13	14	1947
2_	13	1	0	14	15	1177
2_	13	1	0	15	13	1511
2_	13	1	0	16	11	1268
2_	13	1	0	17	15	1001
2_	13	1	0	18	11	1634
2_	18	3	1	1	1	3081
2_	18	3	0	2	14	5140
2_	18	3	1	3	3	1341
2_	18	3	0	4	11	1445
2_	18	3	0	5	16	2575
2_	18	3	1	6	6	4733
2_	18	3	1	7	7	1257
2_	18	3	1	8	8	5405
2_	18	3	1	9	9	2034
2_	18	3	0	10	18	8063
2_	18	3	1	11	11	1418
2_	18	3	1	12	12	2064
2_	18	3	0	13	4	5996
2_	18	3	0	14	5	3994
2_	18	3	1	15	15	1488
2_	18	3	0	16	10	2487
2_	18	3	0	17	10	1726
2_	18	3	0	18	2	4273
2_	23	3	0	1	8	3954
2_	23	3	0	2	7	2526
2_	23	3	1	3	3	3992
2_	23	3	0	4	1	4926
