Condition	Subject	Session	Correct	CorrectAns	Response	TestIndex	RT
4_	8	4	0	11	2	11	7198
4_	8	4	0	2	8	12	10605
4_	8	4	0	9	1	13	4250
4_	8	4	0	13	9	14	13281
4_	8	4	1	4	4	15	8436
4_	8	4	0	1	18	16	7029
4_	8	4	0	18	11	17	2376
4_	8	4	0	7	10	18	6810
1_	9	1	0	8	7	1	1718
1_	9	1	1	12	12	2	1510
1_	9	1	1	1	1	3	1460
1_	9	1	0	16	13	4	4336
1_	9	1	0	6	15	5	5681
1_	9	1	0	15	2	6	6215
1_	9	1	0	2	13	7	3205
1_	9	1	1	10	10	8	2373
1_	9	1	0	4	8	9	3331
1_	9	1	0	5	3	10	1896
1_	9	1	0	14	9	11	3064
1_	9	1	0	13	5	12	2189
1_	9	1	0	3	12	13	4654
1_	9	1	0	9	8	14	1905
1_	9	1	0	11	17	15	1927
1_	9	1	0	7	15	16	1171
1_	9	1	0	18	13	17	2753
1_	9	1	0	17	16	18	6578
2_	9	2	1	13	13	1	3334
2_	9	2	0	11	1	2	4514
2_	9	2	1	12	12	3	1665
2_	9	2	0	10	15	4	4745
2_	9	2	1	3	3	5	1972
2_	9	2	0	18	4	6	6073
2_	9	2	0	6	9	7	1816
2_	9	2	1	17	17	8	2060
2_	9	2	1	8	8	9	2304
2_	9	2	0	7	10	10	1412
2_	9	2	0	5	6	11	6888
2_	9	2	0	2	5	12	1618
2_	9	2	0	16	15	13	1706
2_	9	2	0	1	7	14	6703
2_	9	2	0	15	1	15	1412
2_	9	2	0	9	5	16	1100
2_	9	2	0	14	5	17	1345
2_	9	2	1	4	4	18	2675
3_	9	3	0	13	11	1	3196
3_	9	3	0	9	14	2	1857
3_	9	3	0	16	9	3	1195
3_	9	3	0	18	7	4	5988
3_	9	3	0	12	17	5	2798
3_	9	3	0	15	3	6	1819
3_	9	3	1	6	6	7	1796
3_	9	3	0	10	5	8	2507
3_	9	3	0	4	1	9	1376
3_	9	3	1	17	17	10	5950
3_	9	3	0	11	7	11	2346
3_	9	3	0	7	9	12	2003
3_	9	3	0	5	12	13	1922
3_	9	3	0	8	6	14	3956
3_	9	3	0	3	7	15	1704
3_	9	3	0	1	15	16	2213
3_	9	3	1	2	2	17	4007
3_	9	3	0	14	8	18	1923
4_	9	4	0	13	3	1	7239
4_	9	4	1	18	18	2	3338
4_	9	4	0	3	10	3	2891
4_	9	4	0	7	13	4	1820
4_	9	4	0	8	17	5	6820
4_	9	4	0	9	16	6	5418
4_	9	4	0	10	2	7	1849
4_	9	4	0	5	7	8	5567
4_	9	4	0	14	5	9	2353
4_	9	4	0	17	1	10	2830
4_	9	4	1	1	1	11	6530
4_	9	4	1	6	6	12	3542
4_	9	4	1	11	11	13	1806
4_	9	4	1	4	4	14	4988
4_	9	4	0	12	14	15	5173
4_	9	4	0	15	3	16	5698
4_	9	4	0	2	10	17	2971
4_	9	4	1	16	16	18	1874
4_	10	1	0	9	10	1	3300
4_	10	1	1	15	15	2	1840
4_	10	1	1	2	2	3	2574
4_	10	1	0	18	16	4	7419
4_	10	1	0	7	1	5	5147
4_	10	1	0	12	5	6	3228
4_	10	1	0	14	4	7	6124
4_	10	1	1	3	3	8	2772
4_	10	1	1	17	17	9	1952
4_	10	1	0	4	7	10	10764
4_	10	1	1	16	16	11	3048
4_	10	1	0	1	9	12	6112
4_	10	1	0	10	12	13	4397
4_	10	1	0	13	7	14	9229
4_	10	1	1	8	8	15	4152
4_	10	1	0	6	5	16	8186
4_	10	1	1	11	11	17	2506
4_	10	1	0	5	13	18	12451
3_	10	2	1	9	9	1	2091
3_	10	2	1	2	2	2	2548
3_	10	2	0	5	8	3	6784
3_	10	2	0	6	17	4	5388
3_	10	2	1	3	3	5	1654
3_	10	2	1	16	16	6	4064
3_	10	2	1	10	10	7	1301
3_	10	2	1	14	14	8	1946
3_	10	2	1	11	11	9	7441
3_	10	2	1	1	1	10	3204
3_	10	2	1	12	12	11	3506
3_	10	2	1	4	4	12	2463
3_	10	2	0	8	5	13	5499
3_	10	2	0	7	8	14	5979
